Date,naics_sector_accommodation_and_food_services_ai_user_share,naics_sector_administrative_and_support_and_waste_management_and_remediation_services_ai_user_share,naics_sector_agriculture_forestry_fishing_and_hunting_ai_user_share,naics_sector_arts_entertainment_and_recreation_ai_user_share,naics_sector_construction_ai_user_share,naics_sector_educational_services_ai_user_share,naics_sector_finance_and_insurance_ai_user_share,naics_sector_health_care_and_social_assistance_ai_user_share,naics_sector_information_ai_user_share,naics_sector_management_of_companies_and_enterprises_ai_user_share,naics_sector_manufacturing_ai_user_share,naics_sector_mining_quarrying_and_oil_and_gas_extraction_ai_user_share,naics_sector_other_services_except_public_administration_ai_user_share,naics_sector_professional_scientific_and_technical_services_ai_user_share,naics_sector_public_administration_ai_user_share,naics_sector_real_estate_and_rental_and_leasing_ai_user_share,naics_sector_retail_trade_ai_user_share,naics_sector_transportation_and_warehousing_ai_user_share,naics_sector_utilities_ai_user_share,naics_sector_wholesale_trade_ai_user_share
2023-01-01 0:00:00,3.93%,7.28%,6.25%,4.92%,2.36%,7.04%,6.97%,5.06%,10.58%,4.35%,5.32%,4.55%,3.76%,8.08%,4.55%,4.24%,3.38%,5.63%,0.00%,3.99%
2023-02-01 0:00:00,4.45%,7.73%,3.45%,4.93%,3.66%,7.37%,7.61%,5.91%,12.59%,4.26%,7.22%,8.70%,5.07%,8.42%,4.55%,5.68%,3.43%,5.11%,0.00%,2.98%
2023-03-01 0:00:00,6.15%,11.36%,2.78%,5.80%,6.17%,10.75%,11.98%,8.18%,17.83%,6.19%,10.34%,4.17%,7.45%,12.58%,4.35%,9.21%,6.48%,5.73%,4.76%,6.75%
2023-04-01 0:00:00,7.61%,14.48%,4.88%,4.67%,5.11%,12.18%,14.25%,8.20%,20.95%,4.90%,10.74%,7.41%,6.52%,16.10%,8.33%,9.90%,7.17%,8.50%,8.89%,7.40%
2023-05-01 0:00:00,7.07%,14.07%,12.77%,6.02%,6.26%,10.90%,14.43%,8.97%,21.91%,6.54%,10.04%,3.70%,8.74%,17.79%,7.14%,11.43%,8.40%,12.69%,14.00%,8.89%
2023-06-01 0:00:00,6.47%,14.04%,7.14%,7.27%,5.92%,13.86%,13.22%,8.28%,22.20%,5.50%,10.49%,9.38%,8.29%,18.26%,6.90%,9.58%,8.63%,6.70%,5.56%,8.01%
2023-07-01 0:00:00,5.86%,15.13%,3.51%,8.33%,5.09%,14.17%,13.68%,7.48%,23.60%,9.09%,10.88%,6.06%,8.37%,17.18%,3.23%,8.67%,8.04%,10.48%,6.90%,7.40%
2023-08-01 0:00:00,8.26%,16.27%,7.02%,8.31%,6.36%,15.84%,15.45%,8.00%,23.87%,9.57%,11.15%,6.06%,8.48%,18.29%,2.94%,10.49%,7.84%,10.33%,8.77%,8.37%
2023-09-01 0:00:00,8.26%,16.15%,5.00%,10.06%,7.22%,17.88%,16.73%,8.18%,24.73%,8.94%,11.44%,2.63%,6.58%,17.75%,2.56%,11.59%,8.49%,9.80%,10.34%,10.12%
2023-10-01 0:00:00,8.63%,16.12%,4.48%,9.39%,6.99%,16.53%,16.56%,9.55%,25.79%,10.77%,12.26%,6.82%,7.55%,17.95%,5.00%,10.38%,7.99%,10.32%,9.84%,9.19%
