MY_DATE,All Businesses,Baseline
2022-01-01,54.09836066,50
2022-02-01,56.03468757,50
2022-03-01,56.63356682,50
2022-04-01,58.9711503,50
2022-05-01,59.16699832,50
2022-06-01,56.99903443,50
2022-07-01,51.9932474,50
2022-08-01,50.43909584,50
2022-09-01,49.32224417,50
2022-10-01,50.06072042,50
2022-11-01,48.15473167,50
2022-12-01,47.8086973,50
2023-01-01,47.63602594,50
2023-02-01,47.39790276,50
2023-03-01,47.3700929,50
2023-04-01,47.52157602,50
2023-05-01,48.41119531,50
2023-06-01,50.11622779,50
2023-07-01,52.22327136,50
2023-08-01,53.45565844,50
2023-09-01,52.79884399,50
2023-10-01,49.74402869,50
2023-11-01,48.83106931,50
2023-12-01,48.59796908,50
2024-01-01,51.58741259,50
2024-02-01,52.9724101,50
2024-03-01,54.13011916,50
2024-04-01,54.00027824,50
2024-05-01,53.61566823,50
2024-06-01,53.71986599,50
2024-07-01,53.7582923,50
2024-08-01,53.44531948,50
2024-09-01,52.48945236,50
2024-10-01,51.26346053,50
2024-11-01,49.71539158,50
2024-12-01,49.70755629,50
2025-01-01,49.96079755,50
2025-02-01,49.84275394,50
2025-03-01,48.38163838,50
2025-04-01,47.18337154,50
2025-05-01,47.19285116,50
2025-06-01,47.91493825,50
2025-07-01,48.32425804,50
2025-08-01,47.70400306,50
2025-09-01,48.96669549,50
2025-10-01,49.86668259,50
